sequence_number,timestamp_microseconds,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,battery_percent,temperature_celsius
0,8077877,1,5,6,0,8,2,9,3,100,37.12
1,8090540,3,5,10,0,8,4,8,3,100,37.08
2,8101875,0,7,10,0,8,6,5,5,100,36.97
3,8114868,0,5,10,0,11,2,6,4,100,37.11
4,8127678,4,6,10,2,9,6,6,2,100,37.05
5,8140499,1,7,6,0,10,5,7,5,100,37.01
6,8152143,1,4,10,1,12,5,5,5,100,37.08
7,8163412,2,7,6,2,9,2,5,2,100,37.07
8,8175856,2,4,10,0,9,3,5,2,100,36.86
9,8187198,4,3,6,0,8,2,8,2,100,37.09
10,8199996,3,4,10,0,9,6,6,2,100,37.12
11,8213562,4,6,6,3,10,4,6,5,100,36.93
12,8225399,0,3,6,0,11,6,9,2,100,36.99
13,8238182,3,7,8,0,12,4,5,1,100,37.00
14,8249789,2,7,10,3,10,3,5,1,100,36.86
15,8262578,0,7,9,0,12,6,8,5,100,37.02
16,8273907,1,4,10,2,11,6,9,1,100,36.90
17,8286444,2,5,8,1,8,2,7,1,100,36.85
18,8297574,0,4,6,3,10,3,5,5,100,36.95
19,8310443,0,4,10,2,12,5,5,3,100,37.03
20,8323262,4,6,8,3,11,3,5,5,100,37.10
21,8333722,3,4,7,3,10,5,8,3,100,37.02
22,8344882,1,7,7,1,12,5,6,1,100,36.90
23,8357688,3,4,9,3,9,3,5,3,100,36.95
25,8381486,2,5,7,0,11,6,6,3,100,37.04
26,8394276,3,7,8,2,9,5,7,4,100,37.11
27,8407081,2,3,10,3,10,6,6,1,100,36.98
28,8420763,0,5,8,0,9,3,9,1,100,36.88
29,8433878,4,6,6,0,8,5,8,3,100,36.95
30,8446552,0,5,6,2,12,4,8,2,100,37.00
31,8459293,4,7,6,0,12,4,9,5,100,36.94
32,8471212,3,7,10,2,10,5,7,4,100,36.86
33,8482426,4,3,10,2,12,2,7,2,100,37.05
34,8493116,4,7,6,1,11,4,7,3,100,37.05
35,8505227,2,4,6,0,12,5,7,5,100,37.03
36,8517994,0,6,7,2,10,6,9,4,100,36.96
37,8528724,1,6,10,2,11,3,5,2,100,37.05
38,8541108,0,6,9,3,10,5,6,4,100,37.05
40,8566349,2,4,7,1,11,3,5,2,100,37.11
41,8577890,4,3,10,1,10,5,5,4,100,36.88
42,8589320,1,7,7,3,8,4,5,3,100,37.07
43,8601954,2,6,10,2,12,4,5,4,100,37.06
